PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
280.94,188.05,138.47,152.7410488128,131.3979877896,107.055846956,145.889369563,129.1102869135,106.0899782683,72.7254545455,127.1727272727,367.4166666667,34,76.0555555556,36,68.4736842105,31.8111111111,79.3444444444,0.1111111111
247.67,141.5,95.91,120.5391078276,102.8593781415,83.3677657633,133.0919624778,114.479506773,94.1875109954,82.6592592593,137.9537037037,223.5,33.8823529412,76.8235294118,34.6470588235,71.5294117647,32.2833333333,78.4333333333,0
192.07,93.44,51.62,114.8004925376,95.2473030091,75.4957785355,119.467716217,92.9983127819,73.5216399922,51.0648148148,101.6907407407,238.4166666667,33.5263157895,78,34,74.2352941176,32.5166666667,76.3,0
174.24,73.31,34.3,63.1675998463,45.1735624426,32.7955225776,70.9471087456,40.8874781132,29.1040542126,24.6685185185,58.5074074074,86,33.5882352941,77.9411764706,34.4375,72.4375,32.8,74.8333333333,0
167.59,69.93,33.41,66.8750599755,48.8508283827,36.4594449997,68.145058127,43.6569299137,32.3839865292,23.7166666667,56.737037037,79.5,34,77,35.9411764706,69.2352941176,32.9583333333,74.1916666667,0
236.59,154.04,111.34,107.9776213168,92.2510867119,74.8500454426,95.4510574341,81.3944145651,66.2260329302,32.0277777778,69.2,192.0833333333,34.125,75.375,36.8235294118,66.1764705882,33.2666666667,73.625,0
184.73,99.98,61.39,149.8071105481,128.8516502381,106.8164877891,112.5077496847,98.1446854909,80.9473547617,104.8127272727,162.9036363636,221.75,35,72.375,38.6666666667,60.8,33.75,71.975,0
160.79,66.64,31.2,59.7874931759,41.6257139842,30.2913925383,64.1254381034,37.1834910466,26.5562324524,21.3296296296,54.4185185185,76.75,35,73,37.3076923077,65.0769230769,33.5,72.525,0
171.63,69.43,33.62,66.8516064812,48.0534508649,35.2339658176,59.0192904753,44.1712015937,32.5468838636,23.7388888889,61.8407407407,71.5833333333,35,72.6470588235,37,65.8235294118,33.8083333333,72.2916666667,0
138.58,64.54,29.66,56.7472613017,41.5365140279,30.425880305,52.5970649719,37.7695785971,27.5361929501,21.162962963,55.0462962963,72.0833333333,34.7333333333,72.5333333333,37,66.3529411765,33.7333333333,72.0666666667,0
162.82,76.69,42.2,73.0256741047,57.6746194363,44.6359804869,66.53863301,49.894406487,38.6011197707,25.0425925926,57.9462962963,108.3333333333,34.9375,73,37,64.8235294118,33.9583333333,71.9583333333,0
