PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
58.68,29.98,21.81,27.02,21.04,17.02,24.64,18.86,15.22,20.46,29.04,NA,32,51.35,32,47.22,32.35,46.43,0
58.59,29.87,21.58,27.87,20.12,16.19,24.79,19.48,15.66,20.17,28.96,NA,32,51,32,46.83,32.09,45.69,0
54.52,29.69,21.22,29.14,20.67,16.66,28.38,18.55,14.97,19.4,28.94,NA,32,50,32,46,32.23,44.62,0
51.14,27.37,20.78,25.41,20.34,16.27,21.59,18.03,14.59,19.59,29.03,NA,32,49.13,32,45.35,32.28,43.43,0
52.59,28.8,20.57,28.3,20.28,16.26,21.46,17.7,14.3,19.1,26.69,NA,32,48.56,32,45,32.14,42.58,0
51.61,28.66,20.5,25.66,19.34,15.54,26.22,18.13,14.68,19.29,30.81,NA,32,47.95,32,44.35,32.1,41.91,0
65.5,27.64,20.22,31.92,19.8,15.78,25.21,18.31,14.64,18.67,34.49,NA,31.57,47.29,31.94,44,31.89,41.28,0
54.34,27.09,19.62,22.56,18.82,15.2,24.16,16.71,13.45,19.08,36.78,NA,31,46.5,31.44,43.06,31.65,41.24,0
46.94,27.07,19.6,28.64,18.51,14.87,22.41,16.6,13.42,18.05,25.62,NA,31.06,47,31.35,43,31.59,41.01,0
48.43,26.2,19.55,26.3,18.37,14.51,18.77,16.52,13.35,18.17,26.83,NA,31.41,46.94,32,43,31.82,40.73,0
43.84,27.47,19.94,25.9,17.9,14.27,25.04,16.67,13.28,18.49,28.08,NA,31.81,47,32,43,31.91,40.5,0
44.22,26.63,19.73,23.69,17.65,13.94,23.77,16.51,13.2,18.15,26.38,NA,32,47,32,42.24,32,40.54,0
46.14,26.18,19.81,21.07,17.39,13.96,24.69,16.69,13.33,18.4,26.77,NA,32,47,32,42,32.08,40.53,0
41.91,26.53,19.73,21.15,17.6,14.14,23.83,16.63,13.31,18.24,25.01,NA,32,47,32,42,32.11,40.67,0
41.45,27.39,19.63,24.85,17.76,14.06,20.88,16.89,13.54,18.27,26.4,NA,32,47,32,42,32.2,40.84,0
46.67,27.29,19.73,20.65,17.41,13.87,20.49,16.1,12.9,18.28,25.78,NA,32,47,32.47,42.47,32.24,40.99,0
42.79,26.99,19.88,23.05,18.14,14.51,21.42,16.64,13.47,18.24,26.31,NA,32,47,32.94,42.94,32.3,41.04,0
48.32,26.35,19.94,22.37,18.04,14.4,18.43,16.33,13.18,18.28,23.99,NA,32,47,33,43,32.38,41.33,0
44.14,27.59,20.1,22.13,17.28,13.78,21.99,16.86,13.5,17.73,24.76,NA,32,47,33,43,32.4,41.51,0
46.53,27.67,19.95,25.98,18.58,14.66,20.66,16.25,12.9,17.73,24.59,NA,32,47.53,33,43.65,32.44,41.71,0
46.52,26.87,19.77,21.3,18.07,14.33,20.68,16.75,13.35,18.19,24.83,NA,32,47.41,33,43.06,32.5,41.67,0
45.2,27.41,20.1,22.25,18.02,14.33,22.26,16.87,13.43,17.88,24.69,NA,32.11,48.06,33,43,32.51,41.38,0
44.76,27.78,19.98,20.92,18.01,14.3,21.39,16.76,13.32,18.16,25.1,NA,32.39,48.39,33,43.89,32.6,41.76,0
45.36,28.22,20.25,23.8,18.25,14.51,21.96,16.7,13.38,18.27,24.59,NA,32.83,48.83,33,43.47,32.6,41.93,0
43.73,27.98,20.09,20.36,17.8,14.17,18.97,16.54,13.1,18.09,24.55,NA,32.94,49.06,33,44.12,32.66,42.08,0
41.23,27.34,19.77,19.42,17.5,14.06,21.79,16.33,13.06,17.93,24.66,NA,33,49.88,33,44.53,32.7,42.93,0
42.59,27.3,20.19,20.58,18.2,14.39,19.62,16.94,13.5,17.86,22.6,NA,33,50.56,33,44.68,32.71,42.93,0
40.27,27.49,20.47,21.19,18.76,14.89,21.06,17.44,13.9,18.65,25.98,NA,33,50.8,33,45.18,32.8,43.46,0
42.95,28.1,20.47,21.23,18.24,14.53,21.78,17.95,14.37,18.38,23.2,NA,33,51.32,33,45.63,32.8,43.87,0
43.22,28.71,20.55,21.11,18.16,14.39,19.26,16.58,13.32,18.6,25.46,NA,33,51.59,33,46,32.8,44.27,0
47.78,28.43,20.49,20.32,18.15,14.52,22.37,17.2,13.72,18.31,23.67,NA,33,51.06,33,46.12,32.83,44.59,0
43.25,28.73,20.96,21.88,18.93,15.09,21.48,17.27,13.92,19,24.96,NA,33,51.44,33,47,32.9,44.95,0
46.59,30.44,20.7,20.45,18.1,14.41,20.11,17.09,13.72,18.5,24.87,NA,33,51.93,33,47,32.9,45.46,0
48.12,29.02,20.76,21.16,18.6,14.77,19.28,17.2,13.91,18.31,25.77,NA,33,51.81,33,47,32.9,45.48,0
45.09,29.52,21.08,21.6,18.18,14.63,22.45,17.86,14.1,17.89,23.22,NA,33,52.17,33,47,32.9,45.8,0
46.64,29.86,20.86,22.36,19.22,15.18,19.49,17.38,13.88,18.24,24.22,NA,33,52.25,33,47.71,32.99,45.91,0
